Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Mar 4th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,ANTHONY PETTIS,ANDERSON SILVA,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,ALEXANDER GUSTAFSSON,URIJAH FABER,,
"Mar 10th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,URIJAH FABER,,
"Mar 17th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,,,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,URIJAH FABER,,
"Mar 24th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,ALEXANDER GUSTAFSSON,URIJAH FABER,,
"Mar 25th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,URIJAH FABER,,
"Apr 14th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,ANDERSON SILVA,,,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,URIJAH FABER,GILBERT MELENDEZ,,
"Apr 18th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,ALEXANDER GUSTAFSSON,GILBERT MELENDEZ,URIJAH FABER,,
"Apr 21st, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,ALEXANDER GUSTAFSSON,URIJAH FABER,,
"Apr 28th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,ALEXANDER GUSTAFSSON,URIJAH FABER,,
"May 5th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,ALEXANDER GUSTAFSSON,URIJAH FABER,,
